Class,Contrast,DM,Energy,IDM
1.0,2927118595671.12,8959717661.34,68882.13,332134.55
1.0,3742024642013.01,10463520271.65,64813.45,288206.45
1.0,5886529768516.84,14650393860.23,73764.09,368002.37
1.0,7437811427812.02,17799492931.0,81539.21,413139.92
1.0,33483860043284.4,59356405611.81,163876.47,739103.97
1.0,1443955726794.41,5169518199.26,52075.19,231289.2
1.0,4005143995605.16,11652793058.25,82252.87,377877.94
1.0,382552811181.72,1787506499.9,30943.43,136604.14
1.0,5228752218764.17,13820189469.1,76702.21,362773.34
1.0,4302598737424.12,12196857454.63,74401.07,335476.89
1.0,16120744654536.82,33949558528.94,119249.27,546630.36
1.0,2942218128881.62,8384583194.73,59055.04,280811.47
1.0,2211349456830.06,7060372835.78,56068.85,254543.63
1.0,4688376970471.79,12956083891.64,79313.9,376843.12
1.0,47155793819585.36,71193103171.61,154104.08,750048.98
1.0,8126494347468.57,20667124978.3,103777.67,475549.09
1.0,2906181156924.02,9108020813.68,75239.91,337964.77
1.0,33561917251872.34,59085204112.9,144842.25,691741.51
1.0,68626729745.92,443024292.64,14984.95,57628.03
1.0,763053652051.2,3301008736.86,49179.8,231253.27
1.0,1750226831422.78,6030999046.8,56771.16,251950.81
1.0,13802830683059.44,29701930801.24,106955.58,488102.98
1.0,67271046695524.45,99432131735.31,173406.84,832611.8
1.0,73521538172452.2,108799374168.81,188810.1,907842.24
1.0,1153843327600.0,4178826079.47,49219.0,223314.53
1.0,9670048849160.74,22983013948.51,100429.4,456424.13
1.0,2598041582653.86,7076058359.09,46548.83,239288.98
1.0,2618269096200.99,8302986762.24,64948.75,289008.87
1.0,4026765113489.98,11149773016.58,67337.74,304434.69
1.0,942167742291.35,3776606347.33,47845.15,216182.9
1.0,75249356198927.84,111276296858.72,192894.33,826642.48
1.0,70766804405263.44,113693242650.3,234220.43,977913.62
1.0,37742342032010.01,66575454942.55,168406.05,786438.9
1.0,125617603158543.58,168557513390.31,256259.66,1198029.72
1.0,2692861523030.78,8493359177.92,70451.58,304357.44
1.0,3423205078539.36,9978909136.08,68572.84,312200.02
1.0,3474981272287.65,10227133301.3,69315.16,312125.95
1.0,7290962820777.91,16459248788.68,69812.41,372913.76
1.0,37700711011599.56,64970446247.73,162068.06,770666.01
1.0,31043588416664.8,52365130786.13,131893.86,686648.48
1.0,2232913369665.62,7670548046.21,66128.03,299392.65
1.0,2771483861736.12,8908895237.82,70234.63,308585.36
1.0,4616596771366.45,12848739020.77,74698.51,348204.29
1.0,4176105512511.82,12029640116.02,78617.87,365267.95
1.0,6427816978877.35,16981792122.67,93615.08,438838.26
1.0,2393485200305.33,7826299664.32,63268.12,283711.03
1.0,559979522227.0,2477129575.87,37831.63,163602.37
1.0,1643922108283.15,5911405407.77,59680.3,270177.64
1.0,3025728512535.42,9283666905.35,68737.62,301518.37
1.0,19123735324518.95,37971233653.16,118760.2,566250.7
1.0,31006500018963.88,59205043610.03,166232.84,767118.31
1.0,3106356517188.31,9465228536.21,69461.97,319273.86
1.0,1885189785438.73,6274750322.93,54539.65,250217.79
1.0,44430389630087.96,74470920170.17,167291.54,754630.72
1.0,1625271550714.1,5380554803.36,49623.31,230289.37
1.0,2540875072908.21,8201286673.92,68243.7,301437.04
1.0,4492194668534.06,12975685780.3,86555.19,409183.24
1.0,560616563274.11,2287302968.14,32013.03,159833.46
1.0,5362563769283.88,14392127491.87,81319.97,392704.9
1.0,2403908206712.24,7355506260.69,55248.75,259764.52
1.0,5115041155027.93,13843165899.71,77614.45,348431.85
1.0,1477903737666.57,5663962104.25,65228.04,302293.99
1.0,71494646602819.72,112071396895.43,230797.39,1061075.9
1.0,7669889508372.6,18510172742.54,84118.57,418870.41
1.0,20197069958399.14,39264058353.4,125797.37,572965.98
1.0,4399054153471.98,13113360712.23,99518.84,443210.01
1.0,12648947007234.48,27677000503.26,106228.73,521806.3
1.0,579314961941.29,2585182596.91,39062.44,184116.91
1.0,2704566098918.56,8104141149.31,57993.98,273214.98
1.0,4081240001183.68,11214744658.86,66570.84,304625.1
1.0,15891167432623.31,33572988170.93,114948.19,540125.45
1.0,6144124597593.23,16415930318.5,96607.25,441057.55
1.0,2619733629953.39,8142831873.36,59781.71,283906.61
1.0,4879800716813.39,12855684236.17,71774.8,347705.37
1.0,16946636279211.16,35299242990.13,123011.34,571726.04
1.0,3280040924933.46,9665125582.12,66080.95,301400.48
1.0,6005869580953.13,14833743364.63,73746.63,346681.45
1.0,6623032346728.53,15287038910.38,77962.07,358570.14
1.0,1682265153027.18,5884976034.67,54492.64,242312.61
1.0,1196853989553.92,4410868862.12,50874.41,225212.23
1.0,15777339206582.36,31739967687.04,106356.38,466002.2
1.0,10772528712508.92,24343337141.6,101373.15,486179.27
1.0,2743951021172.95,7912752340.22,52774.2,236901.32
1.0,23925387255595.96,44629005327.78,128330.84,623145.43
1.0,1607609903375.69,5396785260.74,48972.46,217723.32
1.0,1981113627586.61,6595732177.94,60623.33,292554.04
1.0,39735226641004.2,70838789750.83,181339.99,823596.81
1.0,4616488439818.61,12553143004.99,72904.94,333007.77
1.0,521821114546.09,2281386601.0,33320.78,159779.51
1.0,2520104359220.67,7878375230.41,59468.57,266836.52
1.0,14262449751601.34,29803561974.87,106973.13,523648.32
1.0,4691532487715.39,12304567501.73,71640.75,350615.34
1.0,1826778944839.86,6171523474.81,57180.77,260360.95
1.0,29717234034750.48,55536853900.33,157307.56,723503.15
1.0,6113511917496.91,15672218242.39,83505.81,408708.51
1.0,2040746668223.04,6371422905.98,49592.01,233185.34
1.0,3335520208824.98,9781221269.83,67110.87,315054.79
1.0,9736730287052.44,23354016889.56,101990.03,456739.47
1.0,2098836750602.48,7030884173.19,64847.78,295541.03
1.0,1027680678183.55,3904257248.3,41867.31,180625.08
1.0,2073201496227.38,6517607027.38,55317.53,258900.39
1.0,5478539134877.2,13706790442.33,69933.65,336002.73
