Class,Contrast,Dissimilarity,Energy,Homogeneity
1.0,932557.0,119985.0,64049.22,846560.24
1.0,726857.0,103913.0,14567.55,794648.9
1.0,1202528.0,172846.0,23623.66,1026727.61
1.0,1457478.0,206502.0,22887.57,1112555.63
1.0,1507268.0,205968.0,44368.63,1851627.34
1.0,511680.0,81082.0,47123.75,596485.08
1.0,664899.0,94569.0,12939.09,940075.79
1.0,308286.0,48774.0,50853.8,396003.59
1.0,606195.0,100837.0,65202.04,899374.6
1.0,715550.0,107490.0,63270.93,931922.82
1.0,1110754.0,156378.0,17363.11,1580154.14
1.0,910674.0,118018.0,46665.42,741505.09
1.0,536265.0,77529.0,42642.79,674055.73
1.0,893931.0,121191.0,43756.14,951179.5
1.0,1452401.0,224413.0,33197.6,2027085.62
1.0,998054.0,151202.0,50343.67,1378936.98
1.0,811025.0,121799.0,50755.72,839974.46
1.0,2006056.0,264122.0,59194.7,1751899.21
1.0,110843.0,24943.0,22642.83,144768.06
1.0,586726.0,87984.0,41407.64,561467.89
1.0,529801.0,75735.0,56793.82,653726.1
1.0,1326310.0,186438.0,34881.68,1377126.02
1.0,2277210.0,286316.0,52104.75,2421977.53
1.0,1998758.0,259962.0,2551.45,2623023.55
1.0,523080.0,71886.0,15552.68,616331.51
1.0,1155334.0,166530.0,49224.84,1215357.85
1.0,856221.0,120887.0,20463.34,717824.2
1.0,616778.0,94274.0,64757.68,726759.46
1.0,646908.0,96014.0,20370.58,975826.03
1.0,469616.0,69114.0,42575.71,544433.18
1.0,1481531.0,208295.0,22298.09,2410549.88
1.0,2231544.0,300888.0,43224.2,2598042.73
1.0,1998851.0,262099.0,55242.75,2023850.62
1.0,3255106.0,477874.0,12320.18,2911213.04
1.0,818321.0,105067.0,32425.93,783497.22
1.0,667453.0,101699.0,43102.0,896244.78
1.0,851283.0,124339.0,49925.62,855543.63
1.0,1540202.0,197800.0,50373.3,1015729.72
1.0,1600248.0,244662.0,18260.22,2032642.58
1.0,1980867.0,287891.0,51800.64,1918367.76
1.0,684092.0,102450.0,60747.25,857748.07
1.0,842209.0,122379.0,51497.64,767149.85
1.0,821002.0,122652.0,65271.46,1015914.18
1.0,928665.0,134909.0,62278.49,902062.91
1.0,1233934.0,173196.0,63386.16,1146910.15
1.0,741021.0,108985.0,60354.35,703608.56
1.0,540551.0,79059.0,58387.16,416022.3
1.0,779372.0,117434.0,50135.2,660633.65
1.0,679427.0,97675.0,38386.44,874973.93
1.0,1551984.0,216656.0,55853.64,1693131.53
1.0,1569429.0,222255.0,46489.71,2051835.72
1.0,777825.0,111391.0,30442.3,785216.54
